               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.069633,            0.027013,            0.036227,             0.39878,             0.77852,             0.60496,             0.20524,             0.02004,           0.0077132,            0.012511,            0.070469,           0.0032813,           0.0032813
                   1,            0.044779,            0.016813,            0.023818,             0.80274,             0.95293,             0.91875,             0.57479,            0.012426,            0.004471,           0.0053314,            0.040461,           0.0066064,           0.0066064
                   2,            0.044583,            0.011514,            0.011875,             0.66191,             0.98611,             0.89537,             0.54721,            0.016009,           0.0031191,           0.0017473,            0.010444,           0.0099233,           0.0099233
                   3,            0.044151,            0.009917,           0.0071291,             0.91237,                   1,               0.995,               0.629,            0.011902,            0.002954,            0.001382,           0.0099629,           0.0099629,           0.0099629
                   4,             0.03871,           0.0092105,           0.0078793,             0.80627,             0.93247,             0.97057,             0.81283,            0.011095,           0.0028413,          0.00090206,           0.0099629,           0.0099629,           0.0099629
                   5,            0.036031,           0.0084398,           0.0072295,             0.87321,                   1,             0.99334,             0.74214,           0.0099523,           0.0027933,           0.0008506,           0.0099505,           0.0099505,           0.0099505
                   6,            0.032236,           0.0081756,           0.0046633,             0.87659,             0.98611,             0.97672,             0.80578,           0.0098006,           0.0022299,          0.00069086,           0.0099381,           0.0099381,           0.0099381
                   7,            0.032366,            0.007585,           0.0065959,             0.84192,                   1,               0.995,              0.7667,           0.0074468,            0.002619,           0.0027048,           0.0099258,           0.0099258,           0.0099258
                   8,            0.033667,           0.0076307,           0.0044731,             0.99515,             0.99653,             0.99497,             0.75045,            0.010224,            0.002014,          0.00051607,           0.0099134,           0.0099134,           0.0099134
                   9,            0.030896,           0.0070839,           0.0049286,             0.99295,             0.99298,               0.995,             0.91774,           0.0057919,           0.0017419,           0.0013436,            0.009901,            0.009901,            0.009901
                  10,            0.026929,           0.0068143,           0.0036346,             0.99846,                   1,               0.995,             0.89175,           0.0060035,           0.0017977,          0.00059483,           0.0098886,           0.0098886,           0.0098886
                  11,            0.025425,            0.006859,           0.0032469,             0.99237,                0.75,             0.76616,             0.68902,           0.0087704,           0.0069866,           0.0091307,           0.0098763,           0.0098763,           0.0098763
                  12,            0.024047,           0.0066777,           0.0026609,             0.99865,                   1,               0.995,             0.84316,           0.0065091,           0.0018929,          0.00045137,           0.0098639,           0.0098639,           0.0098639
                  13,            0.023998,           0.0066546,           0.0028156,             0.98482,             0.99769,               0.995,             0.86455,           0.0060305,           0.0020714,            0.001473,           0.0098515,           0.0098515,           0.0098515
                  14,            0.024313,            0.006654,           0.0027134,             0.99838,                   1,               0.995,             0.90599,           0.0044259,           0.0016929,          0.00050817,           0.0098391,           0.0098391,           0.0098391
                  15,            0.023292,           0.0065091,           0.0047434,             0.99729,             0.99782,               0.995,             0.90869,           0.0040832,            0.001877,          0.00045105,           0.0098268,           0.0098268,           0.0098268
                  16,            0.023093,           0.0064334,           0.0022102,             0.99822,                   1,               0.995,             0.93074,           0.0051332,           0.0016633,          0.00041044,           0.0098144,           0.0098144,           0.0098144
                  17,            0.022202,           0.0060099,           0.0040163,             0.99266,                   1,               0.995,              0.9246,           0.0044536,            0.001629,          0.00038418,            0.009802,            0.009802,            0.009802
                  18,            0.023504,           0.0061708,           0.0026626,             0.99244,                   1,               0.995,             0.82441,           0.0060158,           0.0020422,          0.00080147,           0.0097896,           0.0097896,           0.0097896
                  19,            0.022787,           0.0061911,            0.002593,             0.99875,                   1,               0.995,             0.95013,           0.0038786,           0.0015459,          0.00036049,           0.0097773,           0.0097773,           0.0097773
                  20,            0.020707,           0.0061029,           0.0021127,             0.99816,                   1,               0.995,              0.9132,           0.0042094,           0.0015878,          0.00047054,           0.0097649,           0.0097649,           0.0097649
                  21,            0.023594,           0.0059048,           0.0032503,              0.9981,                   1,               0.995,             0.91194,           0.0038709,           0.0014564,          0.00032797,           0.0097525,           0.0097525,           0.0097525
                  22,            0.020921,           0.0058554,           0.0025959,             0.99881,                   1,               0.995,             0.94409,           0.0043895,           0.0015428,          0.00032358,           0.0097401,           0.0097401,           0.0097401
                  23,             0.02141,           0.0058861,           0.0019996,             0.99871,                   1,               0.995,             0.93975,           0.0043501,           0.0014313,          0.00039717,           0.0097278,           0.0097278,           0.0097278
                  24,            0.022822,           0.0061693,           0.0020554,             0.99884,                   1,               0.995,             0.88602,           0.0052528,            0.001492,          0.00026094,           0.0097154,           0.0097154,           0.0097154
                  25,            0.019781,           0.0057024,           0.0015572,             0.99814,                   1,               0.995,             0.92206,           0.0036658,           0.0014054,          0.00031294,            0.009703,            0.009703,            0.009703
                  26,            0.023845,           0.0057162,           0.0026943,             0.99861,                   1,               0.995,             0.93376,           0.0033428,           0.0014225,          0.00055859,           0.0096906,           0.0096906,           0.0096906
                  27,             0.02006,           0.0061084,           0.0020511,             0.99839,                   1,               0.995,             0.94321,           0.0033267,           0.0014522,          0.00029873,           0.0096783,           0.0096783,           0.0096783
                  28,             0.02176,           0.0059383,           0.0027558,             0.99854,                   1,               0.995,             0.93625,           0.0046929,           0.0013772,          0.00031784,           0.0096659,           0.0096659,           0.0096659
                  29,            0.019943,           0.0057818,           0.0014445,             0.99865,                   1,               0.995,             0.95479,           0.0030913,            0.001364,          0.00038811,           0.0096535,           0.0096535,           0.0096535
                  30,            0.021401,           0.0057769,           0.0012067,             0.99904,                   1,               0.995,             0.93164,           0.0038136,           0.0017645,          0.00036963,           0.0096411,           0.0096411,           0.0096411
                  31,            0.022183,           0.0052888,           0.0011517,             0.99827,                   1,               0.995,             0.95084,           0.0035287,            0.001318,          0.00032896,           0.0096288,           0.0096288,           0.0096288
                  32,             0.01855,           0.0049444,           0.0019679,             0.99767,                   1,               0.995,             0.95945,           0.0031881,           0.0014323,          0.00020983,           0.0096164,           0.0096164,           0.0096164
                  33,            0.021741,           0.0053001,           0.0013847,             0.99808,                   1,               0.995,             0.94918,           0.0033673,           0.0013764,          0.00029352,            0.009604,            0.009604,            0.009604
                  34,            0.023365,           0.0055526,           0.0026505,             0.99833,                   1,               0.995,             0.90385,           0.0043225,           0.0014713,          0.00023298,           0.0095916,           0.0095916,           0.0095916
                  35,            0.017458,           0.0051492,           0.0015597,             0.99885,                   1,               0.995,              0.9518,           0.0030272,           0.0013006,          0.00034309,           0.0095793,           0.0095793,           0.0095793
                  36,            0.016586,           0.0051052,           0.0026801,             0.99881,                   1,               0.995,             0.93763,            0.002764,           0.0012743,          0.00028389,           0.0095669,           0.0095669,           0.0095669
                  37,            0.019911,            0.004964,           0.0017485,             0.99868,                   1,               0.995,             0.96663,           0.0024369,           0.0011634,          0.00029366,           0.0095545,           0.0095545,           0.0095545
                  38,             0.02113,           0.0052563,           0.0013581,             0.99817,                   1,               0.995,             0.95232,           0.0027684,           0.0012256,          0.00034525,           0.0095421,           0.0095421,           0.0095421
                  39,            0.018671,           0.0048624,           0.0013493,             0.99758,                   1,               0.995,             0.96295,           0.0026999,           0.0013777,          0.00027439,           0.0095298,           0.0095298,           0.0095298
                  40,             0.01628,            0.004955,           0.0020736,             0.99876,             0.99992,               0.995,             0.95686,            0.003021,           0.0013254,          0.00027052,           0.0095174,           0.0095174,           0.0095174
                  41,            0.019277,           0.0048136,           0.0015199,             0.99879,                   1,               0.995,             0.96163,           0.0026824,           0.0012341,          0.00026775,            0.009505,            0.009505,            0.009505
                  42,            0.019665,            0.005368,           0.0023194,             0.99885,                   1,               0.995,             0.96087,           0.0023575,           0.0013077,          0.00028852,           0.0094926,           0.0094926,           0.0094926
                  43,            0.019474,           0.0050635,           0.0018021,             0.99872,                   1,               0.995,             0.95857,           0.0029162,           0.0013228,          0.00029999,           0.0094803,           0.0094803,           0.0094803
                  44,            0.018579,           0.0054718,           0.0031474,             0.99845,                   1,               0.995,              0.9548,           0.0034233,           0.0013748,          0.00025155,           0.0094679,           0.0094679,           0.0094679
                  45,            0.019614,           0.0053915,           0.0019297,             0.99493,             0.99726,               0.995,             0.94909,           0.0028973,           0.0015868,          0.00025821,           0.0094555,           0.0094555,           0.0094555
                  46,             0.01951,           0.0053688,           0.0014177,             0.99843,                   1,               0.995,             0.96866,           0.0023423,           0.0011987,          0.00021699,           0.0094431,           0.0094431,           0.0094431
                  47,            0.019608,           0.0053664,           0.0014629,             0.99876,                   1,               0.995,             0.96247,           0.0028216,           0.0012899,          0.00018477,           0.0094307,           0.0094307,           0.0094307
                  48,            0.018834,           0.0051561,           0.0028837,             0.99879,                   1,               0.995,             0.94223,           0.0025812,           0.0011511,          0.00023142,           0.0094184,           0.0094184,           0.0094184
                  49,            0.017264,           0.0052407,           0.0010037,             0.99846,                   1,               0.995,             0.94839,           0.0038247,           0.0012745,          0.00019528,            0.009406,            0.009406,            0.009406
                  50,            0.016798,           0.0048782,          0.00091377,              0.9982,                   1,               0.995,             0.96185,           0.0025587,           0.0012633,          0.00019267,           0.0093936,           0.0093936,           0.0093936
                  51,            0.016752,           0.0049075,             0.00095,             0.99872,                   1,               0.995,               0.946,           0.0029939,           0.0012445,          0.00023874,           0.0093813,           0.0093813,           0.0093813
                  52,            0.016996,           0.0050519,           0.0015708,             0.99855,                   1,               0.995,             0.94179,           0.0029152,           0.0012098,          0.00021515,           0.0093689,           0.0093689,           0.0093689
                  53,            0.016585,           0.0048193,           0.0019878,             0.99846,                   1,               0.995,             0.95865,           0.0030562,           0.0011932,          0.00020706,           0.0093565,           0.0093565,           0.0093565
                  54,            0.016775,           0.0046849,           0.0011565,             0.99864,                   1,               0.995,             0.96651,           0.0022312,           0.0011595,          0.00019814,           0.0093441,           0.0093441,           0.0093441
                  55,            0.018813,           0.0051672,           0.0010911,             0.99859,                   1,               0.995,             0.95715,           0.0022201,           0.0010727,          0.00022543,           0.0093317,           0.0093317,           0.0093317
                  56,            0.017792,           0.0049989,           0.0017342,             0.99852,                   1,               0.995,             0.96582,           0.0023605,           0.0011098,          0.00034351,           0.0093194,           0.0093194,           0.0093194
                  57,            0.017881,           0.0049623,            0.001801,             0.99861,                   1,               0.995,             0.96411,           0.0027392,           0.0011872,           0.0001563,            0.009307,            0.009307,            0.009307
                  58,            0.014286,           0.0047004,           0.0016105,             0.99885,                   1,               0.995,             0.95817,           0.0027115,           0.0011502,          0.00027483,           0.0092946,           0.0092946,           0.0092946
                  59,            0.017322,           0.0050572,           0.0019465,             0.99878,                   1,               0.995,             0.96602,           0.0022661,            0.001238,          0.00019839,           0.0092823,           0.0092823,           0.0092823
                  60,            0.017475,           0.0050001,           0.0019649,             0.99002,             0.83858,             0.88514,             0.83528,           0.0044461,           0.0068264,          0.00071307,           0.0092699,           0.0092699,           0.0092699
                  61,            0.016876,           0.0049981,           0.0027841,             0.99736,                   1,               0.995,             0.96766,           0.0021292,           0.0011768,           0.0002319,           0.0092575,           0.0092575,           0.0092575
                  62,            0.019504,           0.0051917,           0.0018403,             0.99852,                   1,               0.995,             0.95849,           0.0023646,           0.0012139,           0.0001727,           0.0092451,           0.0092451,           0.0092451
                  63,            0.016135,           0.0051009,           0.0021302,              0.9988,                   1,               0.995,             0.96753,           0.0023291,           0.0013479,           0.0002196,           0.0092327,           0.0092327,           0.0092327
                  64,            0.014977,           0.0048888,           0.0011225,             0.99809,             0.99982,               0.995,             0.96355,           0.0027034,           0.0011762,          0.00022514,           0.0092204,           0.0092204,           0.0092204
                  65,            0.015508,           0.0050325,          0.00087593,              0.9987,                   1,               0.995,             0.95776,           0.0025191,           0.0011453,           0.0001654,            0.009208,            0.009208,            0.009208
                  66,            0.016752,           0.0048349,           0.0012163,             0.99865,                   1,               0.995,             0.93761,           0.0030771,           0.0012015,          0.00018157,           0.0091956,           0.0091956,           0.0091956
                  67,            0.014973,            0.004862,           0.0013241,             0.99831,                   1,               0.995,             0.96995,           0.0020942,           0.0011279,          0.00019438,           0.0091833,           0.0091833,           0.0091833
                  68,            0.014733,           0.0047143,          0.00069726,             0.99877,                   1,               0.995,             0.97238,           0.0019559,           0.0011171,          0.00018325,           0.0091709,           0.0091709,           0.0091709
                  69,            0.014414,           0.0045991,           0.0013238,             0.99881,                   1,               0.995,             0.96616,           0.0022321,            0.001196,          0.00025573,           0.0091585,           0.0091585,           0.0091585
                  70,            0.015566,           0.0046881,           0.0013018,             0.99889,                   1,               0.995,             0.96966,            0.002302,           0.0011243,            0.000269,           0.0091461,           0.0091461,           0.0091461
                  71,            0.015856,           0.0047607,          0.00098493,             0.99884,                   1,               0.995,             0.96906,           0.0019621,            0.001113,          0.00016509,           0.0091337,           0.0091337,           0.0091337
                  72,            0.018466,           0.0048186,           0.0010501,             0.99849,                   1,               0.995,             0.96467,           0.0021657,           0.0011133,          0.00022445,           0.0091214,           0.0091214,           0.0091214
                  73,            0.013345,           0.0042856,           0.0011149,             0.99883,                   1,               0.995,             0.97071,           0.0022983,            0.001144,          0.00020097,            0.009109,            0.009109,            0.009109
                  74,            0.014809,           0.0044622,           0.0010615,             0.99913,                   1,               0.995,             0.97204,           0.0026414,           0.0011523,          0.00018073,           0.0090966,           0.0090966,           0.0090966
                  75,            0.015924,           0.0047593,           0.0017599,             0.99868,                   1,               0.995,             0.96107,           0.0024851,           0.0013596,          0.00019371,           0.0090843,           0.0090843,           0.0090843
                  76,            0.014689,           0.0048568,           0.0013739,             0.99857,                   1,               0.995,             0.96977,           0.0021215,           0.0011047,           0.0002257,           0.0090719,           0.0090719,           0.0090719
                  77,            0.017142,            0.004906,           0.0019111,             0.99028,             0.89097,             0.92674,             0.87788,            0.004156,           0.0062794,          0.00046523,           0.0090595,           0.0090595,           0.0090595
                  78,            0.016896,           0.0048949,           0.0027142,              0.9991,                   1,               0.995,             0.96806,            0.002395,           0.0011414,            0.000223,           0.0090471,           0.0090471,           0.0090471
                  79,            0.013868,           0.0048726,           0.0019077,             0.99899,                   1,               0.995,             0.96485,           0.0024937,           0.0011801,          0.00014699,           0.0090347,           0.0090347,           0.0090347
                  80,            0.015932,           0.0049573,           0.0018703,              0.9988,                   1,               0.995,             0.97205,           0.0022855,           0.0011515,          0.00023286,           0.0090224,           0.0090224,           0.0090224
                  81,            0.015525,           0.0047273,           0.0011472,             0.99874,                   1,               0.995,             0.96156,           0.0023625,           0.0012188,          0.00017627,             0.00901,             0.00901,             0.00901
                  82,            0.016061,           0.0047858,           0.0016597,              0.9987,                   1,               0.995,             0.95744,           0.0025285,           0.0011098,          0.00013391,           0.0089976,           0.0089976,           0.0089976
                  83,            0.015132,            0.004796,          0.00090808,             0.99892,                   1,               0.995,             0.97237,           0.0025894,           0.0011614,          0.00017194,           0.0089853,           0.0089853,           0.0089853
                  84,            0.013237,           0.0045073,           0.0007997,             0.99826,                   1,               0.995,              0.9681,           0.0022299,           0.0012898,          0.00017757,           0.0089729,           0.0089729,           0.0089729
                  85,            0.015126,           0.0045969,           0.0016041,             0.99869,                   1,               0.995,             0.97058,           0.0020131,           0.0010788,          0.00019279,           0.0089605,           0.0089605,           0.0089605
                  86,            0.013332,           0.0046009,           0.0010635,             0.99838,                   1,               0.995,             0.97378,           0.0018826,           0.0010228,          0.00013228,           0.0089481,           0.0089481,           0.0089481
                  87,            0.013699,           0.0045321,            0.001008,             0.99855,                   1,               0.995,             0.97411,           0.0018698,           0.0010008,          0.00014727,           0.0089358,           0.0089358,           0.0089358
                  88,            0.014399,           0.0042822,           0.0012849,             0.99867,                   1,               0.995,               0.974,           0.0020969,           0.0010627,          0.00023023,           0.0089234,           0.0089234,           0.0089234
                  89,            0.013377,           0.0044832,           0.0010515,             0.99856,                   1,               0.995,             0.97272,           0.0021061,           0.0010637,          0.00015308,            0.008911,            0.008911,            0.008911
                  90,            0.013492,           0.0044315,          0.00070101,             0.99833,                   1,               0.995,             0.96943,           0.0019703,           0.0010842,          0.00014578,           0.0088986,           0.0088986,           0.0088986
                  91,            0.013709,           0.0044755,          0.00072922,             0.99849,                   1,               0.995,             0.97431,           0.0020924,           0.0010515,          0.00014277,           0.0088863,           0.0088863,           0.0088863
                  92,            0.013653,            0.004631,          0.00081073,             0.99868,                   1,               0.995,             0.97189,           0.0020131,           0.0010508,          0.00013738,           0.0088739,           0.0088739,           0.0088739
                  93,            0.013295,           0.0042912,           0.0010171,             0.99874,                   1,               0.995,              0.9723,           0.0020887,           0.0010592,          0.00019125,           0.0088615,           0.0088615,           0.0088615
                  94,            0.014393,            0.004309,           0.0018432,              0.9989,                   1,               0.995,             0.97888,           0.0017953,           0.0010065,          0.00011889,           0.0088491,           0.0088491,           0.0088491
                  95,            0.015144,           0.0044093,           0.0015128,             0.99822,                   1,               0.995,             0.96693,           0.0020528,           0.0011246,          0.00016685,           0.0088368,           0.0088368,           0.0088368
                  96,            0.015039,           0.0044626,           0.0013063,              0.9987,                   1,               0.995,             0.97342,            0.002167,           0.0010487,          0.00018284,           0.0088244,           0.0088244,           0.0088244
                  97,            0.012326,           0.0044517,          0.00060653,             0.99855,                   1,               0.995,             0.96394,           0.0020883,           0.0010875,           0.0001708,            0.008812,            0.008812,            0.008812
                  98,            0.014672,           0.0045675,           0.0011915,             0.99877,                   1,               0.995,             0.97209,           0.0018202,           0.0010755,          0.00015168,           0.0087996,           0.0087996,           0.0087996
                  99,            0.013042,           0.0046443,           0.0014372,             0.99869,                   1,               0.995,             0.97413,           0.0021136,           0.0010644,          0.00012546,           0.0087872,           0.0087872,           0.0087872
                 100,            0.013518,           0.0043632,           0.0013543,             0.99884,                   1,               0.995,             0.97356,           0.0019409,           0.0011171,          0.00013893,           0.0087749,           0.0087749,           0.0087749
                 101,            0.012656,           0.0044452,           0.0010831,             0.99824,                   1,               0.995,             0.97523,           0.0018979,           0.0011464,          0.00013875,           0.0087625,           0.0087625,           0.0087625
                 102,            0.012874,           0.0043286,            0.001183,             0.99801,                   1,               0.995,             0.97278,           0.0019059,           0.0010376,          0.00018387,           0.0087501,           0.0087501,           0.0087501
                 103,            0.012585,           0.0044236,          0.00093246,             0.99834,                   1,               0.995,             0.96887,           0.0020654,           0.0010732,          0.00015959,           0.0087378,           0.0087378,           0.0087378
                 104,            0.012155,           0.0045737,           0.0017654,             0.99896,                   1,               0.995,             0.97325,           0.0019362,           0.0011182,          0.00015774,           0.0087254,           0.0087254,           0.0087254
                 105,            0.010682,             0.00441,           0.0006461,             0.99871,                   1,               0.995,             0.97664,           0.0019381,           0.0010468,           0.0001687,            0.008713,            0.008713,            0.008713
                 106,            0.013029,           0.0044866,          0.00078803,             0.99889,                   1,               0.995,             0.97457,            0.002107,           0.0010544,          0.00011798,           0.0087006,           0.0087006,           0.0087006
                 107,            0.010177,           0.0042536,          0.00078058,             0.99882,                   1,               0.995,             0.96258,           0.0019547,            0.001089,           0.0001917,           0.0086882,           0.0086882,           0.0086882
